iter	Passed	Remaining
0	50	30242
1	99	29757
2	151	30085
3	205	30576
4	261	31081
5	315	31201
6	365	30932
7	411	30486
8	463	30457
9	515	30390
10	567	30388
11	621	30461
12	677	30594
13	729	30520
14	781	30465
15	831	30342
16	884	30316
17	933	30198
18	991	30327
19	1044	30301
20	1098	30300
21	1158	30430
22	1211	30396
23	1264	30346
24	1316	30273
25	1372	30292
26	1428	30313
27	1482	30290
28	1533	30200
29	1589	30193
30	1645	30206
31	1698	30147
32	1753	30130
33	1806	30065
34	1861	30049
35	1914	30000
36	1971	29994
37	2026	29970
38	2078	29897
39	2130	29831
40	2188	29840
41	2241	29784
42	2297	29760
43	2349	29685
44	2402	29635
45	2454	29556
46	2509	29530
47	2564	29495
48	2620	29465
49	2673	29410
50	2729	29377
51	2785	29351
52	2839	29305
53	2893	29252
54	2947	29209
55	3001	29157
56	3053	29091
57	3105	29020
58	3159	28967
59	3214	28933
60	3270	28895
61	3322	28834
62	3380	28817
63	3434	28763
64	3486	28700
65	3539	28639
66	3593	28584
67	3645	28523
68	3699	28466
69	3751	28401
70	3805	28355
71	3865	28344
72	3921	28309
73	3975	28255
74	4099	28696
75	4159	28679
76	4212	28612
77	4266	28555
78	4321	28499
79	4379	28465
80	4435	28420
81	4494	28390
82	4550	28344
83	4607	28302
84	4661	28243
85	4715	28184
86	4769	28124
87	4820	28043
88	4874	27990
89	4927	27923
90	4980	27858
91	5036	27811
92	5091	27758
93	5147	27709
94	5204	27664
95	5258	27609
96	5310	27535
97	5368	27498
98	5420	27432
99	5472	27360
100	5525	27298
101	5577	27229
102	5632	27176
103	5689	27133
104	5757	27140
105	5809	27073
106	5873	27061
107	5955	27128
108	6031	27168
109	6104	27194
110	6176	27209
111	6241	27197
112	6292	27120
113	6341	27034
114	6391	26953
115	6440	26874
116	6489	26791
117	6540	26715
118	6590	26640
119	6640	26562
120	6694	26500
121	6746	26431
122	6795	26352
123	6845	26279
124	6893	26196
125	6946	26130
126	6995	26055
127	7048	25990
128	7096	25910
129	7145	25833
130	7194	25757
131	7243	25681
132	7293	25609
133	7343	25538
134	7393	25466
135	7443	25395
136	7493	25323
137	7542	25250
138	7591	25177
139	7639	25102
140	7687	25025
141	7734	24946
142	7782	24871
143	7830	24796
144	7879	24724
145	7927	24652
146	7977	24583
147	8026	24513
148	8073	24436
149	8121	24364
150	8170	24293
151	8219	24226
152	8266	24152
153	8313	24077
154	8363	24011
155	8412	23944
156	8462	23877
157	8512	23812
158	8561	23746
159	8614	23689
160	8666	23631
161	8715	23563
162	8764	23496
163	8811	23426
164	8863	23366
165	8911	23299
166	8963	23241
167	9012	23176
168	9063	23113
169	9113	23052
170	9164	22991
171	9213	22927
172	9266	22872
173	9315	22806
174	9364	22741
175	9413	22677
176	9464	22618
177	9512	22551
178	9561	22487
179	9612	22429
180	9661	22365
181	9716	22316
182	9765	22251
183	9816	22192
184	9865	22131
185	9914	22068
186	9963	22004
187	10010	21938
188	10061	21880
189	10112	21821
190	10163	21763
191	10210	21697
192	10259	21636
193	10307	21571
194	10358	21514
195	10409	21456
196	10458	21394
197	10505	21330
198	10554	21267
199	10605	21210
200	10656	21153
201	10706	21095
202	10757	21039
203	10811	20986
204	10863	20931
205	10914	20875
206	10962	20813
207	11010	20751
208	11060	20693
209	11110	20633
210	11156	20567
211	11205	20508
212	11256	20451
213	11304	20390
214	11354	20332
215	11403	20272
216	11451	20211
217	11499	20149
218	11551	20095
219	11600	20037
220	11650	19980
221	11696	19916
222	11743	19853
223	11791	19792
224	11839	19732
225	11886	19670
226	11937	19615
227	11984	19553
228	12028	19487
229	12075	19425
230	12124	19368
231	12174	19310
232	12221	19250
233	12268	19189
234	12317	19131
235	12367	19075
236	12411	19009
237	12455	18944
238	12504	18887
239	12554	18832
240	12604	18776
241	12654	18720
242	12702	18661
243	12751	18605
244	12801	18549
245	12850	18491
246	12895	18429
247	12944	18373
248	12995	18318
249	13046	18265
250	13097	18210
251	13145	18153
252	13196	18100
253	13247	18045
254	13294	17986
255	13345	17933
256	13395	17878
257	13443	17820
258	13492	17763
259	13544	17712
260	13591	17653
261	13636	17591
262	13690	17542
263	13738	17485
264	13788	17430
265	13838	17376
266	13890	17323
267	13942	17271
268	13992	17217
269	14042	17162
270	14097	17114
271	14146	17059
272	14195	17003
273	14251	16956
274	14309	16910
275	14359	16856
276	14406	16798
277	14449	16737
278	14501	16684
279	14551	16630
280	14603	16578
281	14653	16523
282	14705	16472
283	14756	16418
284	14807	16365
285	14857	16312
286	14906	16257
287	14955	16201
288	15008	16151
289	15061	16100
290	15109	16044
291	15161	15992
292	15212	15939
293	15263	15886
294	15315	15834
295	15366	15782
296	15415	15727
297	15465	15672
298	15516	15620
299	15566	15566
300	15617	15513
301	15666	15459
302	15716	15405
303	15767	15352
304	15818	15299
305	15868	15245
306	15920	15194
307	15965	15136
308	16013	15080
309	16062	15026
310	16113	14973
311	16165	14921
312	16216	14869
313	16266	14815
314	16315	14761
315	16365	14708
316	16419	14658
317	16466	14602
318	16513	14546
319	16561	14491
320	16612	14438
321	16661	14384
322	16709	14330
323	16756	14274
324	16805	14220
325	16852	14164
326	16902	14110
327	16949	14055
328	16999	14002
329	17047	13948
330	17097	13895
331	17150	13844
332	17201	13792
333	17252	13739
334	17296	13682
335	17346	13629
336	17396	13576
337	17447	13524
338	17499	13473
339	17552	13422
340	17602	13369
341	17649	13314
342	17699	13261
343	17743	13204
344	17792	13151
345	17842	13098
